gas used, block number, num trades
270509, 973, 0
216402, 974, 1
234621, 975, 0
294095, 976, 2
294303, 977, 2
216402, 978, 1
216402, 979, 1
294303, 980, 2
138511, 981, 0
265889, 982, 0
216402, 983, 1
140415, 984, 0
294303, 985, 2
138511, 986, 0
216402, 987, 1
140415, 988, 0
294303, 989, 2
142658, 990, 0
216402, 991, 1
216402, 992, 1
149387, 993, 0
294303, 994, 2
138511, 995, 0
216402, 996, 1
138511, 997, 0
216402, 998, 1
216402, 999, 1
140415, 1000, 0
216402, 1001, 1
149387, 1002, 0
369201, 1003, 0
294303, 1004, 2
304154, 1005, 0
216402, 1006, 1
149387, 1007, 0
216402, 1008, 1
216402, 1009, 1
149387, 1010, 0
147144, 1011, 0
297425, 1012, 0
31824, 1014, 0
